weather_id,weather_main,weather_description,weather_icon,dt,dt_txt,visibility,pop,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,wind_speed,wind_deg,wind_gust,rain_3h,clouds_all,sys_pod,city_id,city,city_lat,city_lon
800,Clear,ciel dégagé,01n,2025-12-28 00:00:00,2025-12-28 00:00:00,10000,0,1.12,-2.17,0.99,1.12,1029,81,3.02,76,5,,1,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-28 03:00:00,2025-12-28 03:00:00,10000,0,1.27,-2.09,1.27,1.32,1028,80,3.14,62,4.52,,0,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-28 06:00:00,2025-12-28 06:00:00,10000,0,1.75,-1.74,1.75,1.75,1028,74,3.44,55,5.37,,1,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01d,2025-12-28 09:00:00,2025-12-28 09:00:00,10000,0,2.96,-0.51,2.96,2.96,1028,78,3.78,58,9.8,,0,d,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01d,2025-12-28 12:00:00,2025-12-28 12:00:00,10000,0,6.62,3.17,6.62,6.62,1027,70,5.44,64,8.06,,0,d,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01d,2025-12-28 15:00:00,2025-12-28 15:00:00,10000,0,6.02,2.89,6.02,6.02,1025,73,4.42,55,8.11,,4,d,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-28 18:00:00,2025-12-28 18:00:00,10000,0,2.04,-1.77,2.04,2.04,1026,87,3.99,52,7.1,,8,n,1,Mont Saint Michel,48.6360211,-1.5114947
801,Clouds,peu nuageux,02n,2025-12-28 21:00:00,2025-12-28 21:00:00,10000,0,1.09,-2.56,1.09,1.09,1026,91,3.46,50,4.76,,12,n,1,Mont Saint Michel,48.6360211,-1.5114947
801,Clouds,peu nuageux,02n,2025-12-29 00:00:00,2025-12-29 00:00:00,10000,0,0.33,-3.12,0.33,0.33,1025,90,3.02,59,4.13,,12,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-29 03:00:00,2025-12-29 03:00:00,10000,0,-0.23,-3.29,-0.23,-0.23,1024,86,2.5,62,2.92,,6,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-29 06:00:00,2025-12-29 06:00:00,10000,0,-0.46,-3.76,-0.46,-0.46,1024,83,2.69,64,3.52,,5,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01d,2025-12-29 09:00:00,2025-12-29 09:00:00,10000,0,0.19,-3.37,0.19,0.19,1024,72,3.11,69,6.15,,2,d,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01d,2025-12-29 12:00:00,2025-12-29 12:00:00,10000,0,5.11,2.32,5.11,5.11,1023,50,3.47,68,5.33,,1,d,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01d,2025-12-29 15:00:00,2025-12-29 15:00:00,10000,0,4.77,1.89,4.77,4.77,1023,59,3.49,45,5.45,,0,d,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-29 18:00:00,2025-12-29 18:00:00,10000,0,0.38,-3.82,0.38,0.38,1024,71,4,58,8.36,,0,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-29 21:00:00,2025-12-29 21:00:00,10000,0,1.02,-2.98,1.02,1.02,1025,90,3.92,59,7.39,,1,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-30 00:00:00,2025-12-30 00:00:00,10000,0,1.86,-2.46,1.86,1.86,1026,91,4.77,63,11.05,,3,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-30 03:00:00,2025-12-30 03:00:00,10000,0,2.14,-2.24,2.14,2.14,1026,89,5,70,10.79,,9,n,1,Mont Saint Michel,48.6360211,-1.5114947
802,Clouds,partiellement nuageux,03n,2025-12-30 06:00:00,2025-12-30 06:00:00,10000,0,5.67,1.12,5.67,5.67,1027,68,7.75,68,11.06,,41,n,1,Mont Saint Michel,48.6360211,-1.5114947
804,Clouds,couvert,04d,2025-12-30 09:00:00,2025-12-30 09:00:00,10000,0,5.21,0.55,5.21,5.21,1029,64,7.68,66,11.27,,100,d,1,Mont Saint Michel,48.6360211,-1.5114947
803,Clouds,nuageux,04d,2025-12-30 12:00:00,2025-12-30 12:00:00,10000,0,6.01,1.89,6.01,6.01,1030,60,6.78,69,11.06,,84,d,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01d,2025-12-30 15:00:00,2025-12-30 15:00:00,10000,0,5.67,1.85,5.67,5.67,1030,59,5.74,57,10.46,,10,d,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-30 18:00:00,2025-12-30 18:00:00,10000,0,2.1,-1.69,2.1,2.1,1030,76,3.98,56,9.02,,9,n,1,Mont Saint Michel,48.6360211,-1.5114947
801,Clouds,peu nuageux,02n,2025-12-30 21:00:00,2025-12-30 21:00:00,10000,0,1.45,-2.4,1.45,1.45,1031,85,3.85,51,8.33,,15,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-31 00:00:00,2025-12-31 00:00:00,10000,0,1.41,-2.83,1.41,1.41,1031,76,4.44,59,9.96,,9,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-31 03:00:00,2025-12-31 03:00:00,10000,0,-0.1,-4.09,-0.1,-0.1,1032,76,3.57,59,5.4,,7,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01n,2025-12-31 06:00:00,2025-12-31 06:00:00,10000,0,-0.97,-5.14,-0.97,-0.97,1032,79,3.56,65,6.01,,8,n,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01d,2025-12-31 09:00:00,2025-12-31 09:00:00,10000,0,-0.47,-4.18,-0.47,-0.47,1032,71,3.13,84,8.34,,7,d,1,Mont Saint Michel,48.6360211,-1.5114947
800,Clear,ciel dégagé,01d,2025-12-31 12:00:00,2025-12-31 12:00:00,10000,0,4.4,1.19,4.4,4.4,1031,43,3.88,84,6.6,,4,d,1,Mont Saint Michel,48.6360211,-1.5114947
