id,description,cluster,main_topic,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
1,"Active classic boxers - There's a reason why our boxers are a cult favorite - they keep their cool, especially in sticky situations. The quick-drying, lightweight underwear takes up minimal space in a travel pack. An exposed, brushed waistband offers next-to-skin softness, five-panel construction with a traditional boxer back for a classic fit, and a functional fly. Made of 3.7-oz 100% recycled polyester with moisture-wicking performance. Inseam (size M) is 4 1/2"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Silky Capilene 1 fabric is ultralight, breathable and quick-to-dry""</li> <li>""Exposed, brushed elastic waistband for comfort""</li> <li>5-panel construction with traditional boxer back</li> <li>""Inseam (size M) is 4 1/2""""""</li></ul><br><br><b>Fabric: </b>3.7-oz 100% all-recycled polyester with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>99 g (3.5 oz)<br><br>Made in Mexico.",0,3,0.17342498197650394,-0.05216950329966869,0.20027306573303186,0.007685561176289955,-0.11186316945695997,-0.02384811222017448,-0.029466455209440846,-0.00021373671493282785,-0.12103570733439156,-0.06307904932675697
2,"Active sport boxer briefs - Skinning up Glory requires enough movement without your boxers deciding to poach their own route. The form-fitting Active Sport Boxer Briefs are made from breathable 93% polyester (71% recycled) fabric that's fast-wicking, dries quickly and has 7% spandex for stretch; the seamless waistband and soft leg edges won't roll or bind. The gusseted, flat-sewn 6"" inseam (size M) is offset to prevent inner-thigh chafe. Fly-free with a smooth front panel. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Stretch mesh provides support, open-weave mesh for airflow, wicks efficiently, dries fast""</li> <li>Seamless construction</li> <li>""Flat-sewn, gusseted inseam is set forward to prevent inner-thigh chafe""</li> <li>Fly-free support</li> <li>""Inseam (size M) is 6""""""</li></ul><br><br><b>Fabric: </b>""4.6-oz 93% polyester (71% recycled)/7% spandex, with moisture-wicking performance. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(60 g 2.1 oz)<br><br>Made in Israel.",0,1,0.22556066455240725,-0.05243324426539382,0.1416065484554333,0.03416157010112805,-0.04047814590843619,0.13174629290806217,0.06791665614118224,-0.02542915307507946,-0.09441092271127399,-0.09207411956166715
3,"Active sport briefs - These superbreathable no-fly briefs are the minimalist's choice for high-octane endeavors. Made from a blend of fast-wicking, quick-drying 93% polyester (71% recycled) and 7% spandex that has both stretch-mesh (for support) and open mesh (for cooling airflow). Soft edging at the leg openings and a seamless waist won't roll or create friction against layers. With a smooth front panel for opacity. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Stretch mesh provides support, open-weave mesh for airflow, wicks efficiently and dries fast""</li> <li>Seamless construction</li> <li>Leg openings have half-inch self-binding for comfort</li> <li>Fly-free support</li></ul><br><br><b>Fabric: </b>""4.6-oz 93% polyester (71% recycled)/7% spandex, with moisture-wicking performance. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(49 g 1.7 oz)<br><br>Made in Israel.",0,1,0.2387841800853281,-0.08763808485480919,0.11602980090628963,0.013836301341068037,-0.029624297906632128,0.12466297880589361,0.16358057071451887,0.04290158986180988,-0.04928149989783564,-0.05214411665534553
4,"Alpine guide pants - Skin in, climb ice, switch to rock, traverse a knife-edge ridge and boogie back down - these durable, weather-resistant and breathable soft-shell pants keep stride on every mountain endeavor. The midweight stretch-woven polyester won't restrict your moves, and the brushed interior maintains next-to-skin comfort. A 2-way zippered fly keeps things easy with a harness on, and the gusseted, zippered cuffs have 2-position snaps and tie-down loops. With water-resistant zippered pockets: two front, two thigh, one back hip. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Durable stretch-woven polyester (47% recycled) with DWR (durable water repellent) finish is water- and wind-resistant and highly breathable</li> <li>Brushed interior for next-to-skin comfort</li> <li>Waistband has belt loops and elastic on back</li> <li>2-way zippered fly</li> <li>""External pockets: two front slash, two glued-on thigh, one back hip - all with highly water-resistant, DWR-finished zippers""</li> <li>""Gusseted, zippered cuff with 2-position adjustable settings and tie-down loops""</li></ul><br><br><b>Fabric: </b>""7.6-oz 90-denier 92% polyester (47% recycled)/8% spandex, with Deluge DWR finish. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(597 g 20.7 oz)<br><br>Made in Vietnam.",1,1,0.40595586672752104,-0.24636001405592328,-0.13805383345634803,-0.14361050989441176,0.05603977929358344,0.003840532233958812,-0.025621053239081353,-0.14853391889722142,-0.07953531056298074,-0.0670277847676668
5,"Alpine wind jkt - On high ridges, steep ice and anything alpine, this jacket serves as a true ""best of all worlds"" staple. It excels as a stand-alone shell for blustery rock climbs, cool-weather trail runs and high-output ski tours. And then, when conditions have you ice and alpine climbing, it functions as a lightly insulated windshirt on the approach, as well as a frictionless midlayer when it's time to bundle up and tie-in. The polyester ripstop shell with a Deluge DWR (durable water repellent) treatment sheds snow and blocks wind, while the smooth, lightly brushed hanging mesh liner wicks moisture, dries fast, and doesn't bind to your baselayers. Superlight stretch-woven underarm panels enhance breathability and allow for unimpaired arm motion, and the two hand pockets close with zippers. A drawcord hem, elastic cuffs, a heat-transfer reflective logo and a regular-coil, center-front zipper with DWR finish round out the features. Updated this season for an improved fit. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Lightweight, breathable polyester ripstop fabric with Deluge DWR (durable water repellent) finish; Slightly brushed polyester-mesh liner wicks moisture and dries fast""</li> <li>""Stretch-woven underarm panels provide breathability, stretch for unimpeded range of motion""</li> <li>DWR finish on center-front zipper</li> <li>Elastic cuffs</li> <li>""Pockets: exterior chest, zippered handwarmers""</li> <li>Drawcord hem</li> <li>Reflective heat-transfer logo</li></ul><br><br><b>Fabric: </b>Shell: 1.3-oz 20-denier 100% polyester ripstop. Panels: 4.6-oz 75-denier 90% all-recycled polyester/10% spandex. Shell and panels have Deluge DWR (durable water repellent) finish. Lining: 100% polyester brushed tricot mesh. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(331 g 11.5 oz)<br><br>Made in China.",1,1,0.4035301910456342,-0.23868872245881093,-0.06272994334298296,-0.21586815089738842,-0.0015127955401147252,-0.060507369634733466,0.04883896132049213,-0.04528975700582147,0.028369959574966925,0.010644081106572771
6,"Ascensionist jkt - Our most technical soft shell for full-on mountain pursuits strikes the alpinist's balance between protection and minimalism. The dense 2-way-stretch polyester double weave, with stitchless seams, has exceptional water- and wind-resistance, a rapid dry time and superb breathability. Pared-down detailing provides everything you need and nothing more: a 3-way-adjustable, helmet-compatible hood; a reverse-coil center-front zipper with a DWR (durable water repellent) finish; large external handwarmer pockets (with zipper garages) that are placed above the harness-line; an internal security pocket; articulated arms; self-fabic cuff tabs; a drawcord hem. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Dense stretchy polyester double-weave fabric is exceptionally water- and wind-resistant and is spandex-free for fast dry times; Stitch-free, lap-glued seams speed dry time, improve water resistance and decrease bulk""</li> <li>""Helmet-compatible, 3-way-adjustable hood;  brushed chamois patches for chin and neck comfort""</li> <li>DWR-(durable water repellent) finished center-front zipper; external pockets: two handwarmers fit skins and have zipper garages and DWR finish on zippers</li> <li>Internal security pocket</li> <li>Articulated arms</li> <li>""Low-profile, laminated, self-fabric cuff tabs""</li> <li>Drawcord hem</li></ul><br><br><b>Fabric: </b>5.3-oz 100% polyester (45% recycled) double weave with 2-way-stretch and Deluge DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(553 g 19.2 oz)<br><br>Made in China.",1,1,0.4085397529521573,-0.226234703591597,-0.11782555964998176,-0.21095665192854962,0.04022431296634994,-0.10509956244123313,-0.0004068832791961942,-0.10046867887820143,0.005463737558653919,-0.004313472265044323
7,"Atom - A multitasker's cloud nine, the Atom plays the part of courier bag, daypack and carry-on. Its teardrop shape provides the support of a daypack by positioning the load behind your shoulder, and the single-strap design makes getting to the goods simple - just spin it around front. The large zippered main pocket has internal zippered mesh and stretch-woven pockets. A convenient zippered pocket on the shoulder strap is lined to protect valuables. Breathable, moisture-moving 3-D spacer mesh pads the shoulder strap and back panel. Made from 150-denier double-weave all-recycled polyester with a polyurethane coating and DWR (durable water repellent) finish.<br><br><b>Details:</b><ul> <li>Atom spins around from back to chest for easy access</li> <li>Main zippered pocket has internal zippered mesh and stretch-woven organizer pockets</li> <li>Small zippered pocket for essentials</li> <li>""Zippered pocket on shoulder strap is lined to protect cell phone, sunglasses, etc""</li> <li>""Teardrop shape positions weight behind the shoulder, easing stress on neck and back""</li> <li>""3-D spacer-mesh on the shoulder strap and back panel wicks moisture, dries quickly and allows air circulation""</li> <li>Waistbelt secures pack to torso</li></ul><br><br><b>Fabric: </b>7.4-oz 150-denier 100% all-recycled polyester double weave. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Shoulder strap: 100% polyester 3-D spacer mesh<br><br><b>Weight: </b>(311 g 10.8 oz)<br><br>Made in Vietnam.",2,8,0.3259984102350241,-0.12232819018585912,-0.11753998678411122,-0.16698984244636544,0.06599048137343573,0.009348491309334512,0.09362824048990219,0.4221303241379736,-0.017333430022559153,-0.054167520190286464
8,"Print banded betina btm - Our fullest coverage bottoms, the Betina fits highest across the hips with a slightly scooped, lined front. Made from a blend of 82% nylon/18% spandex.<br><br><b>Details:</b><ul> <li>Fullest coverage bottom</li> <li>""Fits highest across hips, full front and back coverage""</li> <li>Regular rise</li> <li>Improved fabric</li></ul><br><br><b>Fabric: </b>5.6-oz 82% nylon/18% spandex<br><br><b>Weight: </b>(49 g 1.7 oz)<br><br>Made in USA.",3,7,0.14779635250092973,-0.010306522747546166,-0.014053129384709819,0.10102596894372569,0.03735726459725945,0.2792274044571837,0.3194136642139992,-0.12632822822764783,-0.06160546169712659,-0.006285081539730609
9,"Baby micro d-luxe cardigan - Micro D-Luxe is a heavenly soft fabric with down-to-earth applications. This cardigan is made from a quick-drying, durable 4.6-oz 100% polyester (87% recycled) microdenier fleece that is lightweight and breathable so it can work as a top or midlayer. A wind flap backs the zip front, while the hood has covered-elastic side trim to bundle babies in deep warmth. With slash-style patch pockets, color-coordinating elbow patches and soft self-fabric cuffs. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Soft, microdenier fleece made from 87% recycled polyester is durable and quick-to-dry""</li> <li>Hood stays secure with covered side elastic</li> <li>Inside neck tape for a clean finish</li> <li>Handwarmer patch pockets</li> <li>""Full front zip backed by a wind flap; soft, self-fabric cuffs""</li></ul><br><br><b>Fabric: </b>4.6-oz 100% microdenier polyester (87% recycled) fleece. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(121 g 4.2 oz)<br><br>Made in Costa Rica.",1,1,0.2573071442380673,-0.07479661110279644,-0.03017934722447228,-0.06373511926375157,-0.02960783777683815,-0.15430605136518744,0.022986062705575787,-0.03777910816350604,0.04135733901716415,0.031663640301644314
10,"Baby sun bucket hat - This hat goes on when the sun rises above the horizon, and stays on when raindrops start falling. Its made from an ultra-durable 4-ply, 4.2-oz Supplex nylon fabric with a DWR (durable water repellent) finish, and reverses to either a contrasting solid color or print. A soft tuck-away chin strap with a hook-and-loop fastener holds securely without chafing young jawlines. Packs small; easy care.<br><br><b>Details:</b><ul> <li>""Lightweight Supplex nylon is soft, dries fast and packs small; easy care""</li> <li>Brim shields head and neck</li> <li>Chin strap with hook-and-loop fastener can be tucked away when not in use</li> <li>Reversible style with fun print/solid combinations</li> <li>One colorway has print on both sides</li></ul><br><br><b>Fabric: </b>""4-ply, 4.2-oz Supplex nylon with a DWR (durable water repellent) finish""<br><br><b>Weight: </b>(49 g 1.7 oz)<br><br>Made in China.",1,1,0.24917394030278114,-0.053792416290991255,-0.04290750389587456,-0.08337816113445787,-0.00639708530343081,0.16374772300755863,0.04317654089930359,0.04607930242369986,-0.012424568785268812,0.008133297469579675
